,campaign_name,adset_name,Region,Age Range,TargetAudience
12123,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Focusing On University [ 23rd Nov ],India,25-30,Exclude: Gen_HSPass AvailUni and PostGrad
12124,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12125,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Related To Study In US [ 23rd Nov ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12126,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Related To Study In US [ 31st Oct ],nan,,
12128,USP Study Abroad_Generic_240224,All India Counselling Look-a-like_290224,nan,,
12129,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Related To Study In US [ 31st Oct ],nan,,
12130,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Entrance Exam [ 31st Oct ],nan,,
12131,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12132,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Focusing On University [ 23rd Nov ],India,25-30,Exclude: Gen_HSPass AvailUni and PostGrad
12133,USP_MS + Coop Campaign_240224,MS + Coop All India Ad set - 240224,"India excl AP,KA,TM,TL",24-30,CSE
12134,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Entrance Exam [ 31st Oct ],nan,,
12135,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12136,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12137,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Entrance Exam [ 31st Oct ],nan,,
12138,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Focusing On University [ 4th Nov ],nan,,
12139,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Entrance Exam [ 31st Oct ],nan,,
12140,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Entrance Exam [ 31st Oct ],nan,,
12141,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12142,USP Study Abroad_Generic_240224,All India Counselling Look-a-like_290224,nan,,
12143,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12144,USP Study Abroad_Generic_240224,KA&TN Generic Leads Ad Set_240224,nan,,
12145,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Entrance Exam [ 31st Oct ],nan,,
12146,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
12147,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
12148,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
12149,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12150,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Focusing On University [ 4th Nov ],nan,,
12151,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12152,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12153,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12154,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12155,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12156,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Focusing On University [ 4th Nov ],nan,,
12157,USP_MS + Coop Campaign_240224,MS + Coop KA&TN Ad set - 240224,India: Karnataka; Tamil Nadu,24-30,CSE
12158,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Related To Study In US [ 31st Oct ],nan,,
12159,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12160,USP_MS + Coop Campaign_240224,MS + Coop KA&TN Ad set - 240224,India: Karnataka; Tamil Nadu,24-30,CSE
12161,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12162,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12163,USP Study Abroad_Generic_240224,KA&TN Generic Leads Ad Set_240224,nan,,
12164,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Focusing On University [ 4th Nov ],nan,,
12165,USP Study Abroad_Generic_240224,All India Counselling Look-a-like_290224,nan,,
12166,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12167,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12168,xCBO - USP Masterclass Cold [ 23rd Nov ] - More Volume - No Logic - India-  new link,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12169,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Related To Study In US [ 23rd Nov ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12170,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12171,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12172,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Related To Study In US [ 31st Oct ],nan,,
12173,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Related To Study In US [ 31st Oct ],nan,,
12174,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
12175,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Focusing On University [ 4th Nov ],nan,,
12176,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Related To Study In US [ 31st Oct ],nan,,
12177,USP Study Abroad_Generic_240224,All India Generic Leads Ad Set_240224,nan,,
12178,USP Study Abroad_Generic_240224,All India Generic Leads Ad Set_240224,nan,,
12179,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Related To Study In US [ 31st Oct ],nan,,
12180,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Related To Study In US [ 23rd Nov ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12181,xCBO - USP Masterclass Cold [ 7th Dec ] - Higher Intent - No Logic -  new link India,Related To Study In US [ 7th Dec ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12182,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12183,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Focusing On University [ 4th Nov ],nan,,
12184,USP_Webinar2_270324,All India Webinar_270324,India,24-33,CSE and Abroad
12185,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12186,USP Study Abroad_Generic_240224,All India focusing on Uni Ad Set_060324,nan,,
12187,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
12188,USP Study Abroad_Generic_240224,All India focusing on Uni Ad Set_060324,nan,,
12189,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
12190,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12191,USP_Video_More_Volume_No Logic_India_New Link,Focusing On University,"India excl AP,KA,TM,TL",25-30,Exclude: Gen_HSPass AvailUni and PostGrad
12192,USP Study Abroad_Generic_240224,All India Counselling Look-a-like_290224,nan,,
12193,xCBO - USP Masterclass Cold [ 7th Dec ] - Higher Intent - No Logic -  new link India,Entrance Exam [ 7th Dec ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12194,USP Study Abroad_Generic_240224,All India focusing on Uni Ad Set_060324,nan,,
12195,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Focusing On University [ 4th Nov ],nan,,
12196,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Entrance Exam [ 31st Oct ],nan,,
12197,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12198,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12199,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Related To Study In US [ 23rd Nov ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12200,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Related To Study In US [ 31st Oct ],nan,,
